Lemma,Count
oregon,7
orwell,1
oscar,1
oscar,1
oz,1
,1
,1
parc,1
pb,1
pc,2
pta,1
pablo,1
packard,15
palo,9
pamela,1
paramahansa,1
pari,1
park,2
particle,1
patrick,1
patty,6
paul,19
pea,1
peloponnesian,1
pennsylvania,2
pentagon,1
people,8
pepsi,4
perot,4
personal,1
phd,1
philip,1
physic,1
picasso,2
piece,1
ping,2
pixar,60
planet,2
pocahonta,1
pod,1
polaroid,4
pong,4
ponging,1
popular,1
porsche,1
portland,2
potato,1
powell,24
power,2
president,4
prize,2
pro,1
processor,1
protocol,1
prussian,1
pulitzer,2
pyrex,1
ram,2
reset,1
ret,4
return,1
rokr,1
run,1
rabbit,1
raccoon,1
radioshack,3
raider,1
ram,2
rancho,1
rand,3
raskin,6
rational,1
ravi,1
ray,2
reading,1
reagan,1
redse,3
redskin,1
reed,19
regular,1
rescuer,1
research,1
resource,1
reverend,2
review,1
revival,1
rich,1
richard,6
ridley,1
rob,1
robert,4
rocky,1
roll,1
rolling,3
roman,1
ron,4
ronald,1
rosen,1
rosenbaum,1
ros,3
roundrect,1
rubinstein,2
runner,1
russia,1
,1
sec,2
second,1
sram,1
suck,1
swab,1
sach,1
sacramento,2
san,13
santa,2
saturday,1
saver,1
scandal,1
schieble,4
schiller,1
schlender,5
school,5
scientific,1
scott,21
scotty,2
scout,2
sculley,35
sean,1
seattle,1
second,1
securitie,2
seed,1
semiconductor,1
senate,1
september,8
set,1
shaffer,1
shakespeare,2
share,1
sheryl,1
shockley,1
shop,2
shuffle,1
shunryu,1
siberia,1
siena,1
silicon,9
siliwood,2
simon,1
simpson,9
skywalker,1
small,1
smith,2
soda,3
sony,4
soundjam,1
space,1
spanish,1
spiritual,1
st,1
stanford,22
stanley,1
star,4
state,1
stephen,1
steve,112
steven,4
steve,2
stock,1
stone,2
stone,1
store,3
story,15
street,10
studio,1
suburbia,1
summer,1
sunday,2
sunnyvale,1
super,4
suzuki,1
switzerland,2
symphony,1
syrian,2
system,1
,1
tbwa\chiat\day,1
third,1
target,1
teach,1
team,1
technology,2
teddy,1
tennessee,1
terrell,5
texa,3
thanksgiving,2
the,1
thing,1
thoma,5
though,2
thursday,1
tim,4
time,6
time,4
timothy,1
tin,1
tina,1
tobark,1
tofu,1
tokyo,2
tom,1
tony,1
toshiba,2
toy,16
track,1
trade,1
trak,1
transfer,1
trek,1
tribble,2
trident,1
trip,1
trungpa,2
,1
tuesday,1
tuesday,1
type,1
tyrant,1
tyson,1
,1
url,1
under,1
united,1
universal,1
university,6
,1
vader,1
valentine,2
valley,12
vatican,1
veteran,1
vietnam,6
view,1
virginia,1
visicalc,4
volkswagen,3
wow,3
walkman,1
wall,10
walt,4
walter,7
war,7
ware,1
warner,1
war,5
washington,2
wayne,6
wednesday,1
week,1
wendell,1
west,1
whipple,2
white,1
whole,1
wi,1
william,1
window,9
wisconsin,3
wishe,1
wizard,1
wonderland,1
woodside,2
woody,9
word,1
world,5
woz,21
wozniak,129
xerox,14
year,2
yo,4
yogananda,1
yogi,1
yoko,2
york,14
yosemite,1
youtube,1
young,1
zen,8
zurich,1
,3
,3
,4
,1521
a.m,2
aa,1
abandon,3
abandonment,1
ability,13
able,23
abomination,1
about,184
above,5
aboveboard,1
abrasive,2
absence,3
absent,1
absentia,1
absolute,1
absolutely,1
academic,1
academically,1
accept,5
acces,5
accessible,1
accessory,1
accidentally,1
acclaimed,1
accompany,2
accomplish,1
accomplished,1
accomplishment,1
accord,3
account,6
accounting,2
accumulate,2
accurate,1
accurately,1
accusation,1
accuse,2
achieve,1
acid,2
acknowledge,2
acquaintance,1
acquire,3
acronym,1
acros,5
act,11
action,2
activity,2
actor,1
actres,1
actual,2
actually,16
acupuncture,1
ad,18
add,34
addicted,1
addition,17
additional,2
addres,5
adjacent,1
adjust,2
adjustment,2
administration,1
admiration,2
admire,3
admit,6
adopt,13
adoption,7
adorable,2
adore,2
adult,8
advanced,1
advancement,1
advantage,5
adverb,1
advertise,1
advertisement,1
advertising,5
advice,3
adviser,4
advisory,1
aesthetic,1
affect,2
afford,3
affordable,2
afloat,3
afoul,1
after,131
afternoon,1
afterward,1
again,43
against,6
age,11
agency,3
aggressive,2
aghast,1
ago,2
agree,30
agreement,3
ahead,12
aim,3
air,9
airline,1
airport,1
album,10
alcoholic,1
alert,1
algebra,2
alike,1
alive,1
all,108
allegation,1
alley,1
allotted,1
allow,39
allude,1
almost,34
alone,6
along,11
alpha,1
alphabetical,1
already,18
also,92
alter,1
alternate,1
alternative,3
although,1
altogether,4
aluminum,1
alway,22
amazed,1
amazing,10
amber,1
ambitiou,1
american,3
amid,3
amnesia,1
among,13
amount,10
amplifier,1
amplify,1
amusement,1
an,204
analyst,2
and,1585
anger,1
angry,3
angst,1
animal,2
animate,12
animation,11
animator,5
announce,7
announcement,3
annual,8
anonymou,1
another,62
answer,18
ant,1
antenna,2
antiwar,2
any,25
anybody,2
anymore,2
anyone,6
anything,15
anyway,2
anywhere,5
apart,5
apartment,2
apocalyptic,1
apologise,3
appal,1
apparently,3
appeal,2
appear,16
appearance,6
apple,13
appliance,3
application,3
apply,4
appointment,1
appreciate,4
appreciation,1
approach,10
appropriately,1
approve,4
apricot,3
arcade,3
architecture,1
area,4
arena,1
argue,3
argument,2
arm,4
around,35
arrange,3
arrangement,2
array,1
arrive,10
arrogance,1
arrogant,4
arrogantly,1
arrow,1
art,6
article,3
artist,19
artistic,2
,285
ashamed,1
ashram,1
asian,1
aside,4
ask,50
aspire,1
assassinate,1
assemble,4
assembled,1
assessment,2
assign,3
assignment,2
assistance,1
associate,1
assume,1
assumption,1
astonish,1
astounded,1
at,292
athlete,1
athletic,2
attach,3
attachment,1
attack,3
attempt,1
attend,13
attendance,1
attention,18
attentive,1
attract,2
attractive,1
attribute,3
audience,5
audio,1
audit,1
auditorium,1
author,2
authorize,1
auto,2
automobile,1
autumn,9
available,13
aviator,1
avoid,8
award,4
awarenes,1
away,22
awesome,2
awkward,1
a———floppy,2
,11
baby,13
babysitte,1
bachelor,2
back,68
backdate,3
backdating,1
background,4
backslash,1
bad,15
badge,1
bag,3
bagel,1
baggy,2
bake,1
balance,3
bald,3
balk,3
ball,3
balloon,1
balloony,1
ballroom,1
ban,1
banana,1
band,4
bank,3
banker,1
banking,1
bankruptcy,1
banner,2
bar,4
barbed,1
bare,1
barefoot,4
barely,2
bargain,2
bark,1
base,17
basement,1
bash,1
basic,2
basi,2
bath,1
bathe,1
bathroom,1
battery,8
battle,11
bay,1
be,1591
bean,2
bear,18
beard,1
beat,1
beatnik,1
beautiful,8
beautifully,1
beauty,5
became,2
because,53
become,59
bed,4
bedroom,10
beep,1
before,65
beg,2
begin,75
beginning,4
behalf,2
behaviour,4
behind,15
beige,4
being,1
belief,3
believable,1
believe,22
belittle,1
belong,1
beloved,3
below,2
belt,1
bench,2
bend,2
bendable,1
benefit,2
berate,2
beside,1
bet,1
betray,1
betrayed,1
between,22
beyond,3
bicep,1
bicker,1
bicycle,2
big,55
bike,4
biker,1
bile,1
bill,1
billion,22
billionaire,4
billionth,1
binge,1
biographer,8
biography,2
biological,6
biopsy,1
birth,6
birthday,3
bit,9
bite,4
bitter,2
bitterly,2
bizarre,1
black,14
blackmail,1
blame,2
blank,2
blended,1
blind,3
blink,1
blister,1
blistering,1
bloat,1
bloated,2
block,3
blockbuster,2
blond,1
blood,1
blow,7
blue,11
blunt,5
blurrines,1
board,37
body,9
bold,1
bomb,1
bond,2
bonding,1
bone,1
bonu,5
book,23
boo,1
boost,2
boot,3
bootleg,2
bore,1
bored,3
boring,2
borrow,1
bos,12
botch,1
both,41
bottle,3
bottom,1
bounce,2
bound,1
boundary,1
bow,1
bowl,1
bowling,1
box,33
boxy,2
boy,9
bozo,2
brag,1
brain,2
brainstorm,1
brainy,1
brand,3
brash,2
brat,1
bratty,1
break,18
breaker,1
breakfast,4
breakthrough,3
breath,1
breathe,2
bribe,1
brick,2
bridge,1
brief,2
briefcase,1
briefing,1
briefly,4
bright,7
brilliant,4
bring,38
brittle,1
broad,3
broaden,1
broccoli,1
brochure,3
broke,1
brother,5
browser,3
bruise,2
brush,2
brutal,1
brutally,1
bubble,1
bud,1
buddhist,1
buddy,2
budget,1
bug,3
build,53
building,7
bulimic,1
bulkier,1
bulldoze,2
bullet,1
bully,3
bullying,1
bum,1
bump,1
bumpy,1
bunch,1
burg,1
burn,2
burner,3
burst,2
bu,3
busines,68
businessman,5
busy,5
but,345
butt,1
butter,1
butterfly,2
button,17
buy,56
buyer,15
buying,2
buzz,1
by,152
bye,2
byte,4
cabin,1
cabinet,1
cable,1
cafeteria,4
cake,2
calculate,1
calculation,1
calculator,9
calculu,1
calendar,3
call,121
caller,1
calligraphy,3
calling,1
calm,1
camera,5
campaign,9
campu,13
can,39
cancel,3
cancer,27
candidate,3
candle,1
candy,3
capable,2
capitalist,1
captain,1
caption,1
captivate,1
capture,8
car,19
carbon,1
card,3
care,10
career,2
careful,1
carefully,3
cargo,1
carpenter,1
carpet,2
carrot,4
carry,8
cartoon,4
cartoony,1
cartwheel,1
carve,1
case,15
cash,7
cassette,3
cast,1
caster,1
casual,1
catalogue,3
catastrophe,1
catch,13
cater,1
catty,1
cause,8
cd,8
cease,1
ceiling,1
celebrate,8
celebration,1
celebrity,5
cell,8
cellist,1
cellular,2
cement,1
cemetery,1
cent,16
center,1
central,1
centre,5
century,3
ceo,1
cereal,3
ceremony,2
certain,5
certainly,4
chain,4
chair,8
chairman,2
challenge,13
challenging,1
chance,12
change,48
changin,1
channel,1
chant,2
chaotic,1
chapter,1
character,17
charge,13
charismatic,2
charitable,1
charity,1
charm,5
charmer,1
charming,2
chart,1
chase,2
chat,6
cheap,8
check,3
cheer,1
cheery,1
chemotherapy,3
chequebook,1
chest,2
chide,1
chief,12
child,25
childhood,4
chip,32
choice,11
choke,1
chomp,1
choose,10
chrome,1
chronicler,1
chunk,2
church,2
churn,1
cider,2
circle,4
circuit,17
circuitry,3
cite,1
city,2
civil,3
claim,1
clasp,1
clas,25
classic,4
classmate,9
classroom,1
clatter,1
clean,2
clear,11
clearly,5
clerk,1
clever,9
click,5
clicker,1
clientele,1
cliff,1
clip,2
close,23
cloth,1
clothe,6
clothing,3
clout,1
club,7
clunker,1
clunky,1
co,12
coach,1
coast,2
coat,1
cobble,1
cockpit,1
code,6
cohesive,1
coincidentally,1
cold,8
coldly,1
coldplay,1
collaborate,2
collaboration,1
collaborator,2
colleague,4
collect,3
collection,1
college,38
colour,17
colourful,9
column,1
combination,4
combine,7
combined,1
come,108
comedic,2
comedy,1
comfort,1
commemorate,1
commencement,1
commentator,1
commerce,1
commercial,9
commission,3
commit,4
commitment,3
committed,2
committee,1
commodore,2
common,5
commonly,2
commonplace,1
commune,2
communicate,4
community,1
compact,3
company,181
compare,3
compatible,1
compensation,1
compete,4
competition,5
competitive,1
competitor,2
complain,5
complete,7
completely,6
complex,9
complicated,5
complication,1
compliment,1
component,3
compose,4
compromise,1
compute,2
computer,301
computing,7
concede,1
conceive,1
concentrate,1
concept,2
conceptualize,1
concern,4
concert,3
concierge,1
conclude,10
conclusion,1
condition,2
conditioner,1
conditioning,1
conductor,1
conference,9
confession,1
confide,2
confidence,2
confident,2
configuration,1
confront,2
confuse,2
conglomeration,1
congratulate,2
connect,14
connection,4
conscience,1
consciousnes,3
consequence,2
conservative,1
consider,15
consist,1
consistent,1
conspire,1
constant,1
consultant,3
consume,3
consumer,12
contact,2
content,4
contest,1
continual,1
continue,25
contort,1
contracting,1
contrast,5
contribute,4
contribution,1
control,11
convenience,1
convention,3
conversation,2
convert,1
convey,1
convince,16
convoluted,1
cook,2
cool,11
copier,1
copper,1
copy,5
copycat,1
copywriter,1
cord,2
core,1
corner,4
corporate,6
corporation,1
corral,1
correct,1
correctly,1
corrosive,1
cosmic,1
cost,20
costly,1
costume,2
cotton,1
couch,2
could,212
council,1
counsel,1
counter,3
country,3
county,3
coup,1
couple,21
courage,1
course,8
court,4
courting,1
cover,20
cowboy,2
coworker,1
cpu,1
crack,1
craft,1
craftsmanship,2
cramp,1
crash,2
cratere,1
crazy,6
cream,1
create,51
creation,8
creative,7
creativity,4
creator,1
credit,9
creep,1
creepy,1
crew,1
crisi,3
critic,2
critical,5
criticism,4
criticize,2
cros,1
crossbone,1
crossroad,1
crowd,13
crowded,1
crucial,1
crude,3
cruise,1
crummy,1
crusade,3
cry,5
crystal,1
cube,5
cubicle,2
culture,3
cure,2
curiou,2
curl,1
current,4
curry,1
cursor,6
curtain,1
curvaceou,1
curve,1
custom,3
customer,29
cut,16
cutesy,1
cutout,1
cutting,1
cycle,1
cynic,2
,1
,1
dad,14
dagger,1
daily,1
damage,2
dance,5
dancer,1
dancing,1
dangerou,1
dark,3
dash,2
data,1
date,14
datum,3
daughter,13
dawn,1
day,69
dazzling,1
dead,7
deadline,2
deal,14
dean,2
dearly,2
death,8
debate,3
debt,2
debut,4
decade,12
deceive,1
decide,28
decision,20
deck,1
declare,4
decline,1
deduction,1
deep,9
deeply,7
defeat,3
defend,1
define,5
definitely,1
definitive,1
degree,4
delay,2
delegation,1
deliberately,1
deliver,9
demand,14
demanding,1
demo,1
demolish,1
demolition,2
demonstrate,6
demonstrator,1
dent,4
deny,3
deodorant,1
depart,1
department,6
depend,1
deposit,1
depressed,2
describe,9
description,1
desert,1
deserve,1
design,63
designer,20
desire,1
desk,13
desktop,16
desperate,1
desperately,2
despite,14
destroy,2
detach,1
detail,17
detailed,2
detective,1
deteriorate,2
determine,2
determined,1
devastate,1
develop,25
developer,4
development,5
device,18
devoted,1
devour,1
diagnose,1
diagnosi,1
dial,4
dialing,1
dialogue,1
diameter,1
diamond,1
dictate,1
die,18
diet,9
difference,8
different,27
differently,4
difficult,10
difficulty,1
digestion,2
digestive,1
digital,10
digitally,1
dimensional,3
diminish,1
ding,1
dining,1
dinner,8
direct,1
direction,5
director,12
dirt,1
disable,1
disagree,1
disagreement,2
disappear,1
disappointed,1
disappointingly,1
disappointment,1
disapproval,1
disapprove,1
disc,3
discipline,2
disclose,6
disclosure,1
discontinue,1
discount,5
discourage,3
discover,9
discrimination,1
discus,5
discussion,3
disease,3
disenchanted,1
dish,2
disk,15
dislike,2
dismay,1
dismis,1
dismissal,1
dismissive,1
disorder,1
display,10
disposable,1
dispute,1
disruptive,2
dissolve,2
distance,3
distort,1
distortion,6
distract,2
distraction,1
distres,1
distressed,1
distribute,1
distributor,3
disturb,1
ditch,2
diverge,1
divide,1
division,5
divorce,2
do,298
doctor,14
document,4
dog,2
doing,1
doll,2
dollar,9
dominant,1
dominate,3
don,1
donate,3
donation,1
door,10
dope,1
dorm,4
dose,1
dot,13
double,5
doubt,2
down,49
download,4
downright,1
dozen,15
draft,5
drag,2
dragon,1
drain,1
dram,1
drama,2
dramatic,2
dramatically,2
draw,14
drawback,1
drawer,3
drawing,4
dreadful,2
dream,5
dres,7
dressing,1
drill,1
drink,1
drive,37
drive,1
driveway,1
drizzly,1
drone,1
drop,23
dropout,4
drug,7
drum,2
dry,1
dub,4
duct,1
dud,1
due,1
duet,1
dull,2
dunk,1
during,26
dust,1
duty,4
dweeb,1
dweller,1
dye,1
dynamic,1
dysentery,1
,18
ebay,1
each,42
eager,2
ear,4
early,58
earn,7
earning,2
earth,3
ease,1
easily,7
easy,21
eat,18
eater,1
economic,1
economy,1
edge,2
edgy,1
edit,2
edition,1
editor,3
educate,2
education,4
educational,2
educator,3
eel,1
effect,3
effective,1
effectively,1
efficient,2
effort,9
eight,9
eighty,1
either,7
ejection,1
elaborate,3
elastic,1
elbow,1
electric,1
electrical,1
electricity,1
electron,1
electronic,26
electronically,1
elegant,11
element,4
elevator,1
eleven,1
eligible,1
elimination,1
else,17
elsewhere,1
embarrassed,1
embarrassing,1
emerge,1
emergency,1
emissary,1
emit,1
emotional,1
emotionally,1
emphasize,1
employ,1
employee,33
employer,2
empower,1
empty,1
encase,3
encounter,1
encourage,5
end,46
endeavour,1
ending,3
endles,2
endure,4
energetic,2
energize,1
energy,6
engage,1
engagement,1
engineer,23
engineering,6
enhanced,1
enjoy,6
enlighten,1
enlightenment,3
enormou,7
enough,42
ensure,1
enter,7
enterprise,2
entertain,2
entertaining,1
entertainment,3
enthral,2
enthusiasm,1
enthusiastic,2
entice,2
entire,1
entirely,1
entitle,1
entrance,2
entrepreneur,2
environment,1
envision,2
epic,1
epicentre,1
equal,3
equally,3
equation,1
equip,2
equipment,7
equivalent,1
era,2
erase,2
erratic,2
escape,1
especially,12
esquire,2
essence,2
essentially,6
establish,1
estate,2
estimate,5
etching,1
eulogy,2
european,1
even,111
evening,6
event,3
eventful,1
eventually,15
ever,29
every,35
everybody,2
everyman,1
everyone,13
everything,13
everywhere,3
evil,1
evolve,1
exact,2
exactly,4
exaggerated,1
example,2
excellence,1
excellent,2
except,2
exception,1
exceptional,1
exceptionally,3
exchange,6
excited,1
excitement,3
exciting,4
exclusive,2
executive,43
exercise,2
exhausted,1
exile,1
exist,3
existence,2
existing,1
expand,5
expansion,4
expatriate,1
expect,13
expectation,4
expense,1
expensive,7
experience,15
experiential,1
experiment,8
expert,3
expertise,1
explain,14
explanation,1
expletive,1
explode,4
exploration,1
explore,2
explosion,1
expose,1
expres,2
expression,2
extend,2
extensive,1
extra,7
extraordinary,4
extreme,2
extremely,3
exuberance,1
exuberant,1
eye,10
fabric,1
fabulou,2
face,23
fact,11
factor,1
factory,7
faculty,1
fail,6
failure,8
fair,4
fairly,1
fairnes,1
fairy,1
faith,2
faithful,1
fake,1
fall,18
fame,1
famed,1
familiar,2
family,50
famou,5
famously,2
fan,9
fanboy,1
fancy,4
fanfare,1
far,21
fare,1
farm,5
fascinate,2
fashion,2
fashioned,2
fast,25
fasting,1
fatal,1
fate,1
father,37
fault,1
faulty,1
favor,2
favourable,1
favourite,6
fear,2
feast,1
feature,15
fee,2
feed,3
feel,26
feeling,4
feistines,1
ferment,1
festival,2
feud,1
fever,2
few,58
fiasco,1
fiber,1
fiction,1
fiddle,3
field,10
fifteen,2
fiftieth,1
fifty,12
fight,11
figure,19
figurehead,1
file,6
fill,1
film,12
filmmaker,2
final,8
finalize,1
finally,27
finance,1
financial,12
financially,2
find,53
fine,7
finger,3
fingerprint,1
fingertip,1
finish,10
finished,1
fire,9
firm,4
first,127
fiscal,7
fish,2
fit,14
five,21
fix,15
flag,1
flame,1
flameout,1
flash,3
flat,5
flaw,4
flea,2
fledge,1
flex,1
flimsy,2
flip,1
float,1
flog,1
floor,4
flop,1
floppy,13
flow,3
flower,4
fluid,1
fluke,1
flush,2
fly,12
flyer,2
focu,20
focused,2
fold,1
folder,2
folk,6
follow,13
following,3
fond,2
font,4
food,11
fool,1
foolish,3
foot,9
football,1
for,496
forbid,1
force,5
forefinger,1
foremost,1
forever,2
forget,3
forgettable,1
form,10
formal,2
formally,4
former,15
formula,1
forth,2
fortieth,1
fortunate,3
fortune,5
forty,14
forward,6
found,6
foundation,1
founder,15
four,18
fourteen,5
fourth,3
frame,7
frankly,1
frantically,1
freak,1
free,14
freedom,2
freewheeling,1
freight,1
frenemie,1
frenzy,2
frequency,5
frequent,1
frequently,2
fresh,1
freshman,4
fret,1
friend,64
friendlines,1
friendly,3
friendship,1
frightening,3
frivolou,1
from,150
front,16
frown,1
fruit,6
fruitarian,1
frustrate,2
frustrated,2
frustration,1
fuel,2
fulfil,2
full,16
fully,7
fumble,1
fun,10
function,5
fund,11
fundamental,1
funding,1
funny,2
furiou,1
furiously,1
furnish,1
furniture,3
furore,1
fus,2
fussy,1
future,21
fuzze,1
gadget,8
gain,1
gala,1
gallbladder,1
gallery,1
gallon,1
gamble,2
game,27
gaming,1
gap,2
garage,15
garb,1
garbage,1
garden,2
ga,2
gate,1
gather,2
gathering,3
gaunt,2
geek,4
geeky,1
general,2
generally,1
generate,1
generation,5
generou,2
generously,1
genetic,3
geniu,7
genre,1
gentler,1
geometry,2
german,1
get,130
get,1
getting,4
giant,9
gift,2
gifted,1
gigabyte,1
girl,10
girlfriend,12
give,89
gizmo,1
glamour,1
glare,1
glas,8
glib,1
glimmer,2
glitzy,1
global,1
glom,1
glorify,1
glory,1
glowing,2
go,128
goal,6
gobbledygook,1
going,1
gold,3
golden,1
good,63
gooey,1
got,6
gotta,1
grab,3
grace,3
graceful,2
graciously,1
grade,13
gradually,2
graduate,19
graduation,7
grain,1
grammatically,1
grand,1
granola,1
grant,3
graphic,7
graphical,2
gras,1
grateful,2
gratingly,1
great,39
greatly,1
green,1
greenish,1
grey,1
grid,1
grief,1
grind,1
grit,1
groan,1
grocery,1
grooming,1
ground,5
group,14
grove,1
grow,35
growth,3
gruele,1
grungy,1
guarantee,2
gues,3
guest,2
guide,1
guitar,1
gum,1
gun,1
guru,4
gut,1
guy,8
gymnast,1
,3
habit,7
hacker,2
hair,10
haircut,2
haired,1
half,19
hall,1
hallucinogenic,1
hallway,1
halt,1
hammer,2
hand,26
handedly,1
handful,2
handheld,3
handicapped,2
handle,11
hang,6
haples,1
happen,15
happines,1
happy,7
hard,36
hardball,1
hardly,10
hardware,7
hardwire,1
harsh,2
hat,1
hate,6
have,651
having,3
havoc,1
hawaiian,2
he,1385
head,25
heading,1
headphone,1
headquarter,2
headquarter,4
heady,1
health,13
healthy,1
hear,12
heart,12
hearted,1
heartthrob,1
heaven,1
heavy,2
hedge,1
hello,2
help,38
helped,2
helping,1
her,43
herb,1
